areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
S12000013,Na h-Eileanan Siar,utla,2021-12-28,0
S12000029,South Lanarkshire,utla,2021-12-28,61
S12000045,East Dunbartonshire,utla,2021-12-28,3
E06000003,Redcar and Cleveland,utla,2021-12-27,18
E06000014,York,utla,2021-12-27,86
E06000050,Cheshire West and Chester,utla,2021-12-27,75
E08000001,Bolton,utla,2021-12-27,92
E08000016,Barnsley,utla,2021-12-27,41
E08000031,Wolverhampton,utla,2021-12-27,71
E08000032,Bradford,utla,2021-12-27,171
E09000018,Hounslow,utla,2021-12-27,165
E09000032,Wandsworth,utla,2021-12-27,102
E09000033,Westminster,utla,2021-12-27,159
E10000034,Worcestershire,utla,2021-12-27,80
S12000013,Na h-Eileanan Siar,utla,2021-12-27,0
S12000029,South Lanarkshire,utla,2021-12-27,59
S12000045,East Dunbartonshire,utla,2021-12-27,4
E06000003,Redcar and Cleveland,utla,2021-12-26,9
E06000014,York,utla,2021-12-26,6
E06000050,Cheshire West and Chester,utla,2021-12-26,0
E08000001,Bolton,utla,2021-12-26,6
E08000016,Barnsley,utla,2021-12-26,0
E08000031,Wolverhampton,utla,2021-12-26,0
E08000032,Bradford,utla,2021-12-26,49
E09000018,Hounslow,utla,2021-12-26,25
E09000032,Wandsworth,utla,2021-12-26,12
E09000033,Westminster,utla,2021-12-26,11
E10000034,Worcestershire,utla,2021-12-26,0
S12000013,Na h-Eileanan Siar,utla,2021-12-26,0
S12000029,South Lanarkshire,utla,2021-12-26,0
S12000045,East Dunbartonshire,utla,2021-12-26,0
E06000003,Redcar and Cleveland,utla,2021-12-25,0
E06000014,York,utla,2021-12-25,0
E06000050,Cheshire West and Chester,utla,2021-12-25,0
E08000001,Bolton,utla,2021-12-25,1
E08000016,Barnsley,utla,2021-12-25,0
E08000031,Wolverhampton,utla,2021-12-25,0
E08000032,Bradford,utla,2021-12-25,23
E09000018,Hounslow,utla,2021-12-25,16
E09000032,Wandsworth,utla,2021-12-25,1
E09000033,Westminster,utla,2021-12-25,3
E10000034,Worcestershire,utla,2021-12-25,0
S12000013,Na h-Eileanan Siar,utla,2021-12-25,0
S12000029,South Lanarkshire,utla,2021-12-25,0
S12000045,East Dunbartonshire,utla,2021-12-25,0
E06000003,Redcar and Cleveland,utla,2021-12-24,16
